Rooms,Type,Price,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
3,u,671500,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,765000,13.5,1,2,509,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,900000,13.5,2,3,628,146,1975,Moonee Valley City Council,Western Metropolitan,3464
3,u,820000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,u,650000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,t,552000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
2,h,1275000,3.3,1,0,120,82,1900,Port Phillip City Council,Southern Metropolitan,3280
2,h,1455000,3.3,1,0,159,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,2850000,3.3,2,0,211,198,1890,Port Phillip City Council,Southern Metropolitan,3280
3,h,1850000,3.3,2,0,128,133,1890,Port Phillip City Council,Southern Metropolitan,3280
2,h,,3.3,1,0,215,,1900,Port Phillip City Council,Southern Metropolitan,3280
2,h,1436000,3.3,1,0,130,81,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,2,1,336,145,1890,Port Phillip City Council,Southern Metropolitan,3280
2,h,1110000,3.3,1,0,147,,1900,Port Phillip City Council,Southern Metropolitan,3280
2,h,1550000,3.3,1,1,167,,,Port Phillip City Council,Southern Metropolitan,3280
4,h,2300000,3.3,2,1,153,180,1880,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,1,2,316,125,1880,Port Phillip City Council,Southern Metropolitan,3280
3,t,1550000,3.3,2,2,718,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1800000,3.3,2,1,132,159,1996,Port Phillip City Council,Southern Metropolitan,3280
3,h,2485000,3.3,,,,,,Port Phillip City Council,Southern Metropolitan,3280
2,h,2120000,3.3,1,1,199,107,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,1800000,3.3,1,1,253,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1800000,3.3,2,1,90,122,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,1,0,126,88,1910,Port Phillip City Council,Southern Metropolitan,3280
2,h,1810000,3.3,1,0,240,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,2615000,3.3,2,1,177,181,1880,Port Phillip City Council,Southern Metropolitan,3280
5,h,2100000,3.3,2,1,237,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1300000,3.3,1,0,129,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1370000,3.3,2,2,0,85,2000,Port Phillip City Council,Southern Metropolitan,3280
2,h,1000000,3.3,1,0,288,,,Port Phillip City Council,Southern Metropolitan,3280
2,h,,3.3,1,2,366,117,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,2575000,3.3,2,1,228,,,Port Phillip City Council,Southern Metropolitan,3280
2,h,1322500,3.3,1,0,149,98,1890,Port Phillip City Council,Southern Metropolitan,3280
2,h,,3.3,1,1,152,,,Port Phillip City Council,Southern Metropolitan,3280
2,h,1562500,3.3,1,0,141,83,1890,Port Phillip City Council,Southern Metropolitan,3280
3,h,2000000,3.3,2,1,211,147,1900,Port Phillip City Council,Southern Metropolitan,3280
4,h,,3.3,1,0,236,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,1,2,300,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1900000,3.3,1,0,209,,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,3010000,3.3,2,0,147,146,1890,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,1,0,173,,,Port Phillip City Council,Southern Metropolitan,3280
4,h,2800000,3.3,3,1,327,254,1910,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,1,0,169,,,Port Phillip City Council,Southern Metropolitan,3280
2,u,647000,3.3,1,1,0,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,2,1,122,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,2100000,3.3,1,1,120,123,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,2,1,241,119,1990,Port Phillip City Council,Southern Metropolitan,3280
2,h,,3.3,2,1,225,,,Port Phillip City Council,Southern Metropolitan,3280
7,h,,3.3,7,0,435,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,2000000,3.3,1,1,238,131,1890,Port Phillip City Council,Southern Metropolitan,3280
1,u,442500,3.3,1,0,0,34,1970,Port Phillip City Council,Southern Metropolitan,3280
4,h,4735000,3.3,2,1,330,207,1910,Port Phillip City Council,Southern Metropolitan,3280
2,h,1340000,3.3,1,0,136,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1801000,3.3,1,1,202,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1532000,3.3,3,1,0,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,3755000,3.3,2,2,325,,,Port Phillip City Council,Southern Metropolitan,3280
4,h,2140000,3.3,2,1,183,145,1880,Port Phillip City Council,Southern Metropolitan,3280
2,u,1810000,3.3,,,,,,Port Phillip City Council,Southern Metropolitan,3280
2,h,1750000,3.3,1,1,162,,,Port Phillip City Council,Southern Metropolitan,3280
2,h,980000,3.3,1,0,79,68,1890,Port Phillip City Council,Southern Metropolitan,3280
2,h,,3.3,1,0,99,65,1900,Port Phillip City Council,Southern Metropolitan,3280
4,h,,3.3,2,0,230,185,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,,3.3,2,1,141,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,2030000,3.3,2,0,152,,,Port Phillip City Council,Southern Metropolitan,3280
3,h,1740000,3.3,2,2,147,134,1890,Port Phillip City Council,Southern Metropolitan,3280
3,h,2800000,3.3,3,1,0,,,Port Phillip City Council,Southern Metropolitan,3280
1,h,985000,3.3,1,0,81,54,1900,Port Phillip City Council,Southern Metropolitan,3280
3,h,,6.4,2,1,174,122,2003,Darebin City Council,Northern Metropolitan,2211
4,h,2000000,6.4,2,4,853,263,1930,Darebin City Council,Northern Metropolitan,2211
3,h,1110000,6.4,2,2,208,,2013,Darebin City Council,Northern Metropolitan,2211
3,h,1492000,6.4,2,2,411,,,Darebin City Council,Northern Metropolitan,2211
2,u,480000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
3,h,,6.4,1,3,922,,,Darebin City Council,Northern Metropolitan,2211
3,t,1304000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
4,h,1717500,6.4,2,1,599,203,1925,Darebin City Council,Northern Metropolitan,2211
5,h,2840000,6.4,4,4,809,165,1910,Darebin City Council,Northern Metropolitan,2211
5,h,,6.4,3,4,743,,1915,Darebin City Council,Northern Metropolitan,2211
2,u,525500,6.4,1,1,88,60,1960,Darebin City Council,Northern Metropolitan,2211
2,t,805000,6.4,2,3,155,140,2004,Darebin City Council,Northern Metropolitan,2211
2,u,465000,6.4,1,1,0,,,Darebin City Council,Northern Metropolitan,2211
4,t,,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
3,h,1480000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
3,h,2000000,6.4,3,2,686,,,Darebin City Council,Northern Metropolitan,2211
3,h,1540000,6.4,1,2,592,,,Darebin City Council,Northern Metropolitan,2211
4,h,,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
2,u,590000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
2,u,820000,6.4,1,1,183,,,Darebin City Council,Northern Metropolitan,2211
4,h,1830000,6.4,2,2,606,112,1970,Darebin City Council,Northern Metropolitan,2211
4,h,2100000,6.4,2,2,575,271,2008,Darebin City Council,Northern Metropolitan,2211
3,h,865000,6.4,1,1,180,131,2010,Darebin City Council,Northern Metropolitan,2211
2,u,390000,6.4,1,1,0,60,1960,Darebin City Council,Northern Metropolitan,2211
2,t,650000,6.4,1,0,0,,,Darebin City Council,Northern Metropolitan,2211
2,u,512000,6.4,1,1,0,61,1965,Darebin City Council,Northern Metropolitan,2211
3,h,1361000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
4,h,,6.4,2,2,597,,,Darebin City Council,Northern Metropolitan,2211
3,h,1310000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
3,h,570000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
3,h,1165000,6.4,1,2,979,,,Darebin City Council,Northern Metropolitan,2211
2,u,530000,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
4,h,1900000,6.4,2,2,556,272,1930,Darebin City Council,Northern Metropolitan,2211
5,h,,6.4,2,2,552,211,1916,Darebin City Council,Northern Metropolitan,2211
3,h,1485000,6.4,0,0,597,,,Darebin City Council,Northern Metropolitan,2211
4,h,1950000,6.4,2,3,589,210,1920,Darebin City Council,Northern Metropolitan,2211
3,h,520000,13.8,2,1,352,242,2015,Hobsons Bay City Council,Western Metropolitan,5301
5,h,1525000,13.8,3,3,729,268,2005,Hobsons Bay City Council,Western Metropolitan,5301
2,t,720000,13.8,1,2,292,125,2013,Hobsons Bay City Council,Western Metropolitan,5301
3,h,1120000,13.8,1,2,506,120,1930,Hobsons Bay City Council,Western Metropolitan,5301
4,h,780000,13.8,1,4,655,,,Hobsons Bay City Council,Western Metropolitan,5301
4,h,1780000,13.8,3,6,1057,220,1962,Hobsons Bay City Council,Western Metropolitan,5301
3,u,630000,13.8,1,2,311,94,1955,Hobsons Bay City Council,Western Metropolitan,5301
2,u,406000,13.8,1,1,65,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,660000,13.8,1,1,602,123,1955,Hobsons Bay City Council,Western Metropolitan,5301
3,h,683500,13.8,1,1,530,,,Hobsons Bay City Council,Western Metropolitan,5301
2,u,540000,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
2,u,580000,13.8,1,1,225,93,1988,Hobsons Bay City Council,Western Metropolitan,5301
3,h,1335000,13.8,1,4,777,22,1953,Hobsons Bay City Council,Western Metropolitan,5301
3,t,800000,13.8,2,2,280,,1997,Hobsons Bay City Council,Western Metropolitan,5301
2,u,510000,13.8,1,1,127,76,1990,Hobsons Bay City Council,Western Metropolitan,5301
4,h,1070000,13.8,2,2,695,,,Hobsons Bay City Council,Western Metropolitan,5301
2,u,425000,13.8,1,2,115,57,1980,Hobsons Bay City Council,Western Metropolitan,5301
3,u,605000,13.8,2,2,230,,,Hobsons Bay City Council,Western Metropolitan,5301
3,t,705000,13.8,2,2,197,152,,Hobsons Bay City Council,Western Metropolitan,5301
2,u,391000,13.8,1,1,0,65,1965,Hobsons Bay City Council,Western Metropolitan,5301
2,u,440000,13.8,1,1,0,,,Hobsons Bay City Council,Western Metropolitan,5301
4,h,845000,13.8,1,2,745,130,1950,Hobsons Bay City Council,Western Metropolitan,5301
3,h,766000,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
3,t,743000,13.8,2,2,211,176,,Hobsons Bay City Council,Western Metropolitan,5301
3,t,650000,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
3,u,730000,13.8,2,1,69,141,2014,Hobsons Bay City Council,Western Metropolitan,5301
3,t,916500,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,635000,13.8,1,4,625,,1960,Hobsons Bay City Council,Western Metropolitan,5301
2,u,620000,13.8,1,1,168,,,Hobsons Bay City Council,Western Metropolitan,5301
2,u,447000,13.8,1,1,137,77,1990,Hobsons Bay City Council,Western Metropolitan,5301
3,u,730000,13.8,2,1,70,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,678000,13.8,1,2,606,87,1950,Hobsons Bay City Council,Western Metropolitan,5301
2,u,580000,13.8,2,1,175,76,2013,Hobsons Bay City Council,Western Metropolitan,5301
3,h,712000,13.8,1,2,363,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,840000,13.8,2,2,534,136,1965,Hobsons Bay City Council,Western Metropolitan,5301
3,h,980000,13.8,1,2,724,,,Hobsons Bay City Council,Western Metropolitan,5301
4,h,1000000,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
3,t,605100,13.8,2,0,265,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,880000,13.8,3,1,577,,,Hobsons Bay City Council,Western Metropolitan,5301
3,u,577000,13.8,2,1,205,113,2007,Hobsons Bay City Council,Western Metropolitan,5301
4,h,,13.8,2,3,504,,,Hobsons Bay City Council,Western Metropolitan,5301
4,h,1030000,13.8,1,0,797,,,Hobsons Bay City Council,Western Metropolitan,5301
3,u,605000,13.8,1,2,181,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,685000,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
2,u,,13.8,1,1,117,58,1980,Hobsons Bay City Council,Western Metropolitan,5301
3,h,753000,13.8,2,2,529,,,Hobsons Bay City Council,Western Metropolitan,5301
2,h,857000,13.8,2,1,675,100,1950,Hobsons Bay City Council,Western Metropolitan,5301
3,h,1500000,13.8,1,1,929,,,Hobsons Bay City Council,Western Metropolitan,5301
3,u,730000,13.8,2,1,70,3,2014,Hobsons Bay City Council,Western Metropolitan,5301
3,h,900000,13.8,1,4,697,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,740000,13.8,1,2,604,,,Hobsons Bay City Council,Western Metropolitan,5301
4,h,931000,13.8,2,3,532,,1970,Hobsons Bay City Council,Western Metropolitan,5301
2,h,535600,13.8,1,1,154,91,1996,Hobsons Bay City Council,Western Metropolitan,5301
3,h,,11.1,1,1,620,108,1950,Hobsons Bay City Council,Western Metropolitan,5132
5,h,1085000,11.1,3,6,592,251,1965,Hobsons Bay City Council,Western Metropolitan,5132
3,h,781000,11.1,1,2,533,117,1970,Hobsons Bay City Council,Western Metropolitan,5132
4,h,857500,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
4,h,960000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,750000,11.1,1,3,554,,,Hobsons Bay City Council,Western Metropolitan,5132
2,t,421000,11.1,1,1,77,77,2009,Hobsons Bay City Council,Western Metropolitan,5132
3,h,1405000,11.1,1,3,655,,,Hobsons Bay City Council,Western Metropolitan,5132
2,h,,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,683000,11.1,1,2,534,167,1967,Hobsons Bay City Council,Western Metropolitan,5132
3,h,,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,623000,11.1,1,3,540,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,720000,11.1,2,1,0,130,2012,Hobsons Bay City Council,Western Metropolitan,5132
4,t,780000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,u,720000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,705000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,588000,11.1,1,1,328,118,1970,Hobsons Bay City Council,Western Metropolitan,5132
4,h,720000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,710000,11.1,1,3,540,116,1960,Hobsons Bay City Council,Western Metropolitan,5132
2,h,550000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,u,640000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,537500,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
4,t,,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
4,h,875000,11.1,1,4,559,169,1965,Hobsons Bay City Council,Western Metropolitan,5132
3,h,800000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,t,713500,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
4,h,,11.1,2,5,537,196,1960,Hobsons Bay City Council,Western Metropolitan,5132
3,h,700000,11.1,1,3,554,,,Hobsons Bay City Council,Western Metropolitan,5132
2,h,551000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,685000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
2,t,640000,11.1,1,1,252,,1965,Hobsons Bay City Council,Western Metropolitan,5132
4,h,650000,11.1,1,4,558,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,925000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
2,h,,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,t,670000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,680000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,765000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,675000,11.1,2,2,171,109,2012,Hobsons Bay City Council,Western Metropolitan,5132
3,h,708000,11.1,1,2,585,97,1960,Hobsons Bay City Council,Western Metropolitan,5132
3,t,656000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
4,h,883000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
4,h,965000,11.1,1,4,851,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,870000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,681000,11.1,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
